event_start,belief_time,source,sensor_id,event_value
2019-04-04T13-00-00,2019-04-04T08-46-42,1,4d6ee9584a0cffa7642c,2.52
2019-04-04T13-00-00,2019-04-04T08-46-42,1,a75610e0906376704992,2.71
2019-04-04T13-00-00,2019-04-04T08-46-42,1,2b2d7f16c61881c33e48,137.0
2019-04-04T13-00-00,2019-04-04T08-46-42,1,02fb9e49bad6da492538,1.0
2019-04-04T13-00-00,2019-04-04T08-46-42,1,bd356f8fdb9dfc0c0dec,2.0
2019-04-04T13-00-00,2019-04-04T08-46-42,1,4d2c473fc5d9522b6984,16.09
2019-04-04T13-00-00,2019-04-04T08-46-42,1,2f35c7a49c316b28dced,423.01
2019-04-04T14-00-00,2019-04-04T08-46-42,1,6b1ff8a54e0f1e4ccb0a,0.0
2019-04-04T14-00-00,2019-04-04T08-46-42,1,9e9693e817b3ecd5b5e5,0.0
2019-04-04T14-00-00,2019-04-04T08-46-42,1,f5224e2ddc16412ebfb9,9.59
2019-04-04T14-00-00,2019-04-04T08-46-42,1,f07281b32755f418938c,8.28
2019-04-04T14-00-00,2019-04-04T08-46-42,1,617a05f5939545f5b591,3.61
2019-04-04T14-00-00,2019-04-04T08-46-42,1,028057875ae58a1bef60,0.66
2019-04-04T14-00-00,2019-04-04T08-46-42,1,4866e5a3dca2ebd47579,1000.37
2019-04-04T14-00-00,2019-04-04T08-46-42,1,4d6ee9584a0cffa7642c,2.57
2019-04-04T14-00-00,2019-04-04T08-46-42,1,a75610e0906376704992,2.94
2019-04-04T14-00-00,2019-04-04T08-46-42,1,2b2d7f16c61881c33e48,120.0
2019-04-04T14-00-00,2019-04-04T08-46-42,1,02fb9e49bad6da492538,1.0
2019-04-04T14-00-00,2019-04-04T08-46-42,1,bd356f8fdb9dfc0c0dec,2.0
2019-04-04T14-00-00,2019-04-04T08-46-42,1,4d2c473fc5d9522b6984,16.09
2019-04-04T14-00-00,2019-04-04T08-46-42,1,2f35c7a49c316b28dced,420.38
2019-04-04T15-00-00,2019-04-04T08-46-42,1,6b1ff8a54e0f1e4ccb0a,0.0
2019-04-04T15-00-00,2019-04-04T08-46-42,1,9e9693e817b3ecd5b5e5,0.0
2019-04-04T15-00-00,2019-04-04T08-46-42,1,f5224e2ddc16412ebfb9,10.21
2019-04-04T15-00-00,2019-04-04T08-46-42,1,f07281b32755f418938c,10.21
2019-04-04T15-00-00,2019-04-04T08-46-42,1,617a05f5939545f5b591,3.24
2019-04-04T15-00-00,2019-04-04T08-46-42,1,028057875ae58a1bef60,0.62
2019-04-04T15-00-00,2019-04-04T08-46-42,1,4866e5a3dca2ebd47579,1000.57
2019-04-04T15-00-00,2019-04-04T08-46-42,1,4d6ee9584a0cffa7642c,2.59
2019-04-04T15-00-00,2019-04-04T08-46-42,1,a75610e0906376704992,3.12
2019-04-04T15-00-00,2019-04-04T08-46-42,1,2b2d7f16c61881c33e48,112.0
2019-04-04T15-00-00,2019-04-04T08-46-42,1,02fb9e49bad6da492538,1.0
2019-04-04T15-00-00,2019-04-04T08-46-42,1,bd356f8fdb9dfc0c0dec,2.0
2019-04-04T15-00-00,2019-04-04T08-46-42,1,4d2c473fc5d9522b6984,16.09
2019-04-04T15-00-00,2019-04-04T08-46-42,1,2f35c7a49c316b28dced,418.97
